Wavelength Global Direct Diffuse
653 0.67819 1.09012 0.13313
654 0.67182 1.08064 0.13150
655 0.65626 1.05637 0.12808
656 0.55653 0.89646 0.10830
657 0.59783 0.96366 0.11600
658 0.66522 1.07303 0.12870
659 0.66906 1.07996 0.12907
660 0.67746 1.09428 0.13032
661 0.68527 1.10765 0.13144
662 0.69667 1.12685 0.13325
663 0.68994 1.11672 0.13158
664 0.67836 1.09871 0.12901
665 0.68392 1.10846 0.12969
666 0.68942 1.11812 0.13037
667 0.67712 1.09889 0.12768
668 0.68241 1.10820 0.12831
669 0.69214 1.12473 0.12977
670 0.68404 1.11229 0.12789
671 0.67582 1.09963 0.12600
672 0.67642 1.10133 0.12576
673 0.68143 1.11018 0.12634
674 0.68208 1.11195 0.12610
675 0.67367 1.09894 0.12420
676 0.68307 1.11497 0.12559
677 0.67007 1.09443 0.12285
678 0.68377 1.11751 0.12502
679 0.67512 1.10405 0.12310
680 0.66621 1.09015 0.12114
681 0.67052 1.09786 0.12158
682 0.66585 1.09088 0.12041
683 0.67029 1.09883 0.12088
684 0.66137 1.08486 0.11894
685 0.66608 1.09323 0.11946
686 0.63141 1.03695 0.11294
687 0.57885 0.95119 0.10326
688 0.56510 0.92915 0.10053
689 0.59629 0.98099 0.10579
690 0.59048 0.97201 0.10448
691 0.60309 0.99334 0.10642
692 0.60057 0.98975 0.10569
693 0.60514 0.99786 0.10621
694 0.60757 1.00244 0.10635
695 0.59393 0.98049 0.10368
696 0.59813 0.98799 0.10414
697 0.59984 0.99137 0.10416
698 0.58770 0.97185 0.10178
699 0.60292 0.99756 0.10414
700 0.59445 0.98410 0.10241
701 0.58230 0.96450 0.10005
702 0.57926 0.96000 0.09926
703 0.58680 0.97302 0.10029
704 0.59530 0.98766 0.10148
705 0.60256 1.00024 0.10244
706 0.59674 0.99110 0.10119
707 0.59063 0.98148 0.09989
708 0.60994 1.01410 0.10289
709 0.59120 0.98346 0.09947
710 0.60644 1.00934 0.10177
711 0.60410 1.00598 0.10111
712 0.59595 0.99292 0.09949
713 0.58735 0.97909 0.09780
714 0.58999 0.98399 0.09799
715 0.55356 0.92372 0.09170
716 0.54420 0.90855 0.08992
717 0.50915 0.85048 0.08392
718 0.49198 0.82220 0.08088
719 0.47553 0.79511 0.07797
720 0.47660 0.79729 0.07795
721 0.48232 0.80727 0.07869
722 0.49399 0.82721 0.08039
723 0.49735 0.83324 0.08073
724 0.49952 0.83729 0.08088
725 0.49450 0.82927 0.07986
726 0.48754 0.81800 0.07854
727 0.49248 0.82669 0.07914
728 0.48696 0.81782 0.07805
729 0.47544 0.79885 0.07602
730 0.49835 0.83773 0.07948
731 0.50165 0.84369 0.07981
732 0.52239 0.87898 0.08290
733 0.52739 0.88781 0.08349
734 0.55035 0.92690 0.08691
735 0.55484 0.93488 0.08740
736 0.54841 0.92448 0.08617
737 0.56219 0.94814 0.08812
738 0.56771 0.95789 0.08877
739 0.55181 0.93148 0.08607
740 0.56262 0.95016 0.08754
741 0.56471 0.95412 0.08765
742 0.56112 0.94848 0.08688
743 0.58343 0.98663 0.09011
744 0.59158 1.00086 0.09115
745 0.58060 0.98271 0.08924
746 0.58703 0.99404 0.09001
747 0.59761 1.01239 0.09141
748 0.58938 0.99890 0.08994
749 0.59004 1.00045 0.08982
750 0.58130 0.98605 0.08828
751 0.58170 0.98715 0.08813
752 0.59134 1.00394 0.08937
753 0.58245 0.98927 0.08782
754 0.59201 1.00593 0.08905
755 0.59229 1.00683 0.08888
756 0.57860 0.98398 0.08662
757 0.58323 0.99225 0.08710
758 0.57906 0.98558 0.08627
759 0.44237 0.75323 0.06575
760 0.28101 0.47869 0.04167
761 0.23830 0.40610 0.03525
762 0.29896 0.50967 0.04412
763 0.34168 0.58274 0.05031
764 0.34774 0.59332 0.05108
765 0.41143 0.70227 0.06030
766 0.43737 0.74685 0.06395
767 0.48360 0.82611 0.07054
