Wavelength Global Direct Diffuse
561 0.20638 0.48286 0.12253
562 0.18871 0.44330 0.11173
563 0.19618 0.46268 0.11584
564 0.19301 0.45700 0.11366
565 0.19364 0.46026 0.11371
566 0.17707 0.42252 0.10370
567 0.18900 0.45271 0.11038
568 0.18736 0.45050 0.10913
569 0.18381 0.44363 0.10677
570 0.18398 0.44571 0.10658
571 0.17591 0.42776 0.10163
572 0.18774 0.45821 0.10817
573 0.18909 0.46321 0.10866
574 0.18864 0.46378 0.10810
575 0.18523 0.45704 0.10586
576 0.18228 0.45137 0.10390
577 0.19174 0.47652 0.10900
578 0.18702 0.46641 0.10602
579 0.18618 0.46595 0.10527
580 0.19346 0.48587 0.10909
581 0.19018 0.47927 0.10695
582 0.19399 0.49055 0.10880
583 0.19541 0.49583 0.10931
584 0.19409 0.49416 0.10828
585 0.19162 0.48950 0.10662
586 0.18041 0.46241 0.10012
587 0.18360 0.47215 0.10162
588 0.17909 0.46204 0.09885
589 0.15709 0.40661 0.08648
590 0.16239 0.42170 0.08916
591 0.16926 0.44096 0.09269
592 0.16602 0.43390 0.09068
593 0.16673 0.43713 0.09082
594 0.16947 0.44570 0.09207
595 0.16831 0.44405 0.09120
596 0.17189 0.45488 0.09290
597 0.17482 0.46408 0.09423
598 0.17340 0.46172 0.09322
599 0.17620 0.47061 0.09448
600 0.17812 0.47717 0.09526
601 0.18019 0.48415 0.09612
602 0.18093 0.48758 0.09626
603 0.18413 0.49767 0.09771
604 0.19110 0.51804 0.10115
605 0.19136 0.52025 0.10102
606 0.19025 0.51873 0.10017
607 0.19004 0.51965 0.09980
608 0.18972 0.52026 0.09938
609 0.18825 0.51770 0.09836
610 0.18675 0.51500 0.09732
611 0.18966 0.52450 0.09858
612 0.18821 0.52194 0.09758
613 0.18565 0.51626 0.09600
614 0.17976 0.50124 0.09272
615 0.18931 0.52931 0.09740
616 0.18004 0.50476 0.09239
617 0.18185 0.51121 0.09308
618 0.19152 0.53980 0.09778
619 0.19000 0.53696 0.09676
620 0.19412 0.55004 0.09861
621 0.19826 0.56325 0.10046
622 0.18756 0.53424 0.09479
623 0.19039 0.54369 0.09598
624 0.19074 0.54610 0.09592
625 0.18521 0.53160 0.09290
626 0.18126 0.52157 0.09069
627 0.18569 0.53567 0.09267
628 0.18469 0.53414 0.09194
629 0.18805 0.54520 0.09338
630 0.18347 0.53321 0.09087
631 0.19090 0.55618 0.09432
632 0.18015 0.52614 0.08879
633 0.19315 0.56546 0.09496
634 0.18867 0.55368 0.09252
635 0.19300 0.56774 0.09441
636 0.18578 0.54779 0.09065
637 0.19267 0.56946 0.09379
638 0.19707 0.58384 0.09569
639 0.19556 0.58070 0.09472
640 0.19038 0.56662 0.09198
641 0.19324 0.57645 0.09314
642 0.19092 0.57084 0.09179
643 0.19249 0.57685 0.09232
644 0.18949 0.56915 0.09066
645 0.18802 0.56598 0.08973
646 0.17951 0.54159 0.08547
647 0.18064 0.54621 0.08580
648 0.18002 0.54552 0.08529
649 0.18238 0.55387 0.08620
650 0.16800 0.51132 0.07921
651 0.18322 0.55885 0.08618
652 0.18239 0.55752 0.08558
653 0.18673 0.57201 0.08740
654 0.18571 0.57009 0.08672
655 0.18195 0.55972 0.08476
656 0.15496 0.47769 0.07201
657 0.16746 0.51731 0.07763
658 0.18744 0.58024 0.08669
659 0.18978 0.58866 0.08755
660 0.19349 0.60142 0.08906
661 0.19683 0.61305 0.09038
662 0.20097 0.62721 0.09206
663 0.19974 0.62462 0.09128
